SWV ITM Data Console - ITM Port: 0

=== PARKINSON TREMOR MONITOR ===
IMU init... OK
FFT INIT STATUS: 0
TIME_MS,GX_DPS,GY_DPS,GZ_DPS,GYRO_MAG,AX_MG,AY_MG,AZ_MG,ACCEL_MAG,ACCEL_VERT,JERK_MG_S,DOMINANT_HZ,PEAK_FFT_MAG,BAND_ENERGY,GLOBAL_HZ,GLOBAL_MAG,TREMOR,TREMOR_PCT
142,-12.3725,-2.1175,13.6500,18.5441,470.80,-290.85,103.82,563.05,103.82,351.42,0.0000,0.00,0.00,0.0000,0.00,0,0.0
242,-14.1925,7.6650,21.8925,27.1930,440.42,-259.01,116.14,523.97,116.14,286.28,0.0000,0.00,0.00,0.0000,0.00,0,0.0
342,-9.6250,16.4325,22.0150,29.1089,461.89,-243.02,141.03,540.64,141.03,840.54,0.0000,0.00,0.00,0.0000,0.00,0,0.0
442,-16.9050,11.6900,13.7550,24.7313,414.80,-219.36,22.33,469.76,22.33,986.61,0.0000,0.00,0.00,0.0000,0.00,0,0.0
542,-78.5750,-25.3050,-10.3600,83.1968,449.69,-195.69,84.42,497.64,84.42,3058.21,0.0000,0.00,0.00,0.0000,0.00,0,0.0
642,5.9675,-76.7025,-4.1300,77.0451,344.53,-274.38,-5.98,440.48,-5.98,697.51,0.0000,0.00,0.00,0.0000,0.00,0,0.0
742,-155.5925,42.4550,-24.4825,163.1283,478.73,-257.79,-119.80,556.76,-119.80,512.83,0.0000,0.00,0.00,0.0000,0.00,0,0.0
842,8.9950,-20.7025,-20.8775,30.7469,226.68,-256.08,-166.77,380.49,-166.77,3722.59,0.0000,0.00,0.00,0.0000,0.00,0,0.0
942,-53.7600,23.5550,46.9700,75.1742,367.10,-326.96,-67.10,496.15,-67.10,589.13,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1042,-1.9250,-14.6475,-27.9825,31.6429,457.87,-302.93,16.96,549.27,16.96,4018.24,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1142,-18.9000,-19.3550,60.4975,66.2705,371.49,-248.03,-45.51,448.99,-45.51,4553.55,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1242,21.5775,24.8850,90.8775,96.6622,329.03,-281.21,-60.39,437.02,-60.39,7118.10,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1342,26.5300,32.9350,7.8050,43.0055,184.59,-418.46,-5.61,457.40,-5.61,5993.08,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1442,37.6425,6.3525,-110.2500,116.6721,471.90,-201.42,-15.62,513.32,-15.62,2766.00,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1542,14.9275,-106.3125,-27.6675,110.8633,437.13,-297.44,-84.55,535.44,-84.55,25528.80,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1642,49.2275,-139.2475,96.3200,176.3257,349.16,-286.33,-63.44,455.99,-63.44,8069.14,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1742,-1.8900,23.4500,79.1000,82.5244,274.99,-338.06,-78.32,442.76,-78.32,4989.35,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1842,30.5200,238.7875,0.3500,240.7303,190.69,-140.67,-10.61,237.19,-10.61,70.73,0.0000,0.00,0.00,0.0000,0.00,0,0.0
1942,-27.4925,-109.5325,-137.3050,177.7804,805.20,55.14,-135.79,818.43,-135.79,2226.59,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2042,245.9100,79.3100,10.5875,258.5999,108.58,89.79,-331.35,360.06,-331.35,13231.99,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2142,30.2400,90.0550,-23.1875,97.7856,222.65,-391.38,270.72,525.39,270.72,5153.99,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2242,60.9875,23.4500,-274.1725,281.8509,461.89,-477.63,68.44,667.95,68.44,52540.75,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2342,43.8375,60.9000,-76.4225,107.1025,704.55,-251.08,341.23,822.11,341.23,27196.39,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2442,71.5925,35.0175,32.3225,86.0026,238.88,-194.35,207.89,371.55,207.89,8269.40,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2542,-52.9550,-41.9475,-194.6525,206.0423,311.71,149.69,88.21,356.86,88.21,2900.81,0.0000,0.00,0.00,0.0000,0.00,0,0.0
2642,118.6325,-84.7700,-115.2725,185.8692,504.10,195.32,113.83,552.47,113.83,5030.49,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
2742,123.4975,-77.5600,-218.2950,262.5260,522.16,269.50,38.67,588.88,38.67,1685.78,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
2842,-9.6250,-127.3125,-117.9325,173.8079,610.37,186.29,117.24,648.84,117.24,1695.80,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
2942,-87.1150,-68.0750,-21.5075,112.6313,497.64,251.20,-33.43,558.45,-33.43,6566.31,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
3042,-30.2400,-68.1625,-24.5350,78.5019,404.31,327.08,-123.71,534.56,-123.71,5753.67,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
3142,-59.8675,-6.8775,-0.5950,60.2642,379.18,391.50,-106.14,555.26,-106.14,4048.61,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
3242,-170.9400,-36.9075,173.9325,246.6479,1048.71,34.53,67.83,1051.47,67.83,1048.25,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
3342,-433.6850,-257.8450,-573.3700,763.7538,120.17,1020.53,-350.87,1085.83,-350.87,18658.72,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
3442,100.8525,-42.0875,46.9350,118.9348,-190.32,356.73,-313.54,511.65,-313.54,12744.21,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
3542,28.8225,-26.1100,57.4175,69.3487,110.04,413.58,-133.59,448.34,-133.59,1526.50,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
3642,-107.4850,35.3150,75.8625,136.2178,259.74,471.65,-20.25,538.82,-20.25,4594.06,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
3742,16.1000,-49.5950,-119.9800,130.8208,308.54,419.56,-199.59,557.73,-199.59,32153.69,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
3842,31.7450,2.9050,-31.8500,45.0623,203.50,376.74,-167.63,459.83,-167.63,11419.30,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
3942,-51.6775,31.7625,192.5875,201.9142,349.16,404.67,-145.18,553.85,-145.18,22911.26,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
4042,-177.7125,60.2175,10.3600,187.9234,630.62,167.02,-118.22,662.99,-118.22,8061.43,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
4142,35.2275,37.3800,-125.1600,135.2896,398.82,340.14,-124.68,538.79,-124.68,1883.51,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
4242,26.5825,-13.4750,18.7250,35.1970,503.86,153.60,-102.72,536.67,-102.72,6890.52,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
4342,34.9125,13.1600,28.2975,46.8275,592.55,58.19,-104.07,604.43,-104.07,176.83,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
4442,-1.3825,-1.1550,25.3925,25.4563,252.66,272.18,11.10,371.54,11.10,10534.50,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
4542,11.5325,64.8725,-57.9425,87.7427,904.14,133.47,107.60,920.25,107.60,4045.59,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
4642,11.0250,-22.7325,-32.3575,41.0527,552.54,126.64,-93.82,574.58,-93.82,7757.78,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
4742,8.4175,7.9275,0.6125,11.5791,480.92,153.35,-75.15,510.35,-75.15,1793.49,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
4842,-12.2675,34.3700,-17.6400,40.5334,217.04,172.14,104.92,296.22,104.92,3477.98,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
4942,0.2800,92.0675,-83.5100,124.2997,459.09,274.38,261.57,595.37,261.57,3328.73,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
5042,-67.6900,140.8050,-53.4100,165.1079,532.90,273.52,324.52,681.25,324.52,1760.19,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
5142,-58.1700,86.5900,-68.8450,124.9848,699.91,307.20,184.34,786.28,184.34,1171.73,3.6562,1400.38,5062.06,0.4062,3134.81,0,0.0
5242,-39.2350,81.2700,-23.2750,93.1983,639.52,299.51,26.72,706.69,26.72,255.05,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
5342,-0.3500,18.9875,38.8150,43.2117,584.75,314.88,-45.99,665.73,-45.99,593.07,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
5442,77.8225,-44.3100,81.1125,120.8261,586.94,359.29,53.68,690.27,53.68,2590.00,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
5542,110.2325,-81.5850,100.4500,169.9927,615.25,386.98,205.33,755.28,205.33,853.19,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
5642,81.4975,-121.4850,91.7175,172.6631,676.25,320.37,283.16,800.08,283.16,1482.26,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
5742,49.8750,-150.4475,64.5575,171.1422,541.68,163.36,186.29,595.66,186.29,3810.85,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
5842,39.3925,-99.2600,45.4825,116.0731,450.30,142.86,10.98,472.55,10.98,894.28,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
5942,-6.3875,-50.5050,12.2675,52.3646,433.71,146.77,-66.86,462.72,-66.86,1665.27,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
6042,30.8700,-13.3175,3.7275,33.8261,291.34,79.42,73.20,310.71,73.20,1344.90,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
6142,19.4775,29.1550,-36.0325,50.2765,271.45,49.90,124.32,302.70,124.32,4859.05,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
6242,-8.4350,87.3250,-72.3275,113.7017,436.88,115.90,138.71,472.80,138.71,186.54,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
6342,-61.7225,99.5925,-71.0150,137.0090,589.50,254.98,104.19,650.68,104.19,4751.30,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
6442,-75.8625,117.5825,-86.1875,164.3443,630.13,196.54,184.83,685.46,184.83,2355.69,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
6542,-89.4425,110.1100,-94.3075,170.3469,598.78,299.14,194.35,696.99,194.35,1579.19,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
6642,-43.3650,99.5050,-35.5600,114.2203,646.48,215.21,165.43,701.15,165.43,2263.09,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
6742,-32.7425,38.9200,-13.9125,52.7295,493.00,156.77,158.97,541.20,158.97,2996.11,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
6842,-3.6750,47.9150,0.5250,48.0586,452.13,197.15,110.17,505.40,110.17,3364.25,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
6942,29.6100,-53.0425,29.6625,67.6027,595.12,247.05,64.05,647.53,64.05,5554.08,5.2812,4153.66,16344.03,0.4062,6176.31,1,50.0
